Year	Quarter	Personal theft/larceny	Robbery	Simple assault	Aggravated assault	Rape/sexual assault
1993	1	28	68	341	123	29
1993	2	19	51	301	132	33
1993	3	44	110	769	247	69
1993	4	46	181	780	313	46
1994	1	58	138	779	267	55
1994	2	47	144	724	240	43
1994	3	45	124	692	267	55
1994	4	59	145	748	264	45
1995	1	56	114	740	236	41
1995	2	49	121	711	204	40
1995	3	30	106	595	183	33
1995	4	35	104	664	199	44
1996	1	41	90	618	184	35
1996	2	30	124	644	181	30
1996	3	25	100	527	188	29
1996	4	31	104	555	183	29
1997	1	40	93	548	179	39
1997	2	33	92	544	182	34
1997	3	34	67	477	155	29
1997	4	26	84	481	161	26
1998	1	32	89	486	156	31
1998	2	33	68	483	143	27
1998	3	24	57	456	138	28
1998	4	23	76	486	143	24
1999	1	22	84	486	132	31
1999	2	22	69	424	116	25
1999	3	19	55	347	123	31
1999	4	16	72	365	119	40
2000	1	28	60	408	118	28
2000	2	35	63	370	118	21
2000	3	19	61	300	103	21
2000	4	16	62	308	95	20
2001	1	24	60	333	102	11
2001	2	19	40	292	93	31
2001	3	8	64	313	103	21
2001	4	12	55	303	105	27
2002	1	14	46	321	82	11
2002	2	15	42	278	73	25
2002	3	10	46	291	90	10
2002	4	16	44	299	70	29
2003	1	16	36	242	73	13
2003	2	21	49	265	79	14
2003	3	12	35	262	79	17
2003	4	13	54	324	86	21
2004	1	16	41	268	72	18
2004	2	22	33	286	83	13
2004	3	16	42	229	72	21
2004	4	13	35	239	64	16
2005	1	13	37	228	94	11
2005	2	10	38	209	60	13
2005	3	16	44	220	65	14
2005	4	14	42	202	53	15
2006	1	15	51	298	97	18
2006	2	13	48	241	88	17
2006	3	11	42	279	89	18
2006	4	8	51	289	99	25
2007	1	13	53	338	86	24
2007	2	17	54	278	82	17
2007	3	17	35	195	53	15
2007	4	10	41	257	42	18
2008	1	6	30	218	63	23
2008	2	11	41	274	46	3
2008	3	10	28	188	56	14
2008	4	13	47	236	56	21
2009	1	8	30	206	50	8
2009	2	17	39	201	73	8
2009	3	5	42	197	45	14
2009	4	9	32	208	54	10
2010	1	13	35	155	43	10
2010	2	7	34	197	56	17
2010	3	10	36	192	49	17
2010	4	8	43	228	69	15
2011	1	12	53	233	91	30
2011	2	15	33	251	81	16
2011	3	14	42	222	68	16
2011	4	10	21	142	40	8
2012	1	17	64	254	53	23
2012	2	18	49	276	64	19
2012	3	5	44	270	75	20
2012	4	14	44	320	74	12
2013	1	10	37	250	54	22
2013	2	15	43	274	69	7
2013	3	5	30	212	78	24
2013	4	13	38	213	58	24
2014	1	6	40	161	79	18
2014	2	14	45	220	58	19
2014	3	8	42	239	62	15
2014	4	8	39	225	60	17
2015	1	9	44	212	63	14
2015	2	6	34	168	48	27
2015	3	8	45	228	68	25
2015	4	13	42	247	84	37
2016	1	7	44	210	78	20
2016	2	8	26	270	72	27
2016	3	13	56	375	107	39
2016	4	10	54	376	96	40
2017	1	15	61	347	114	45
2017	2	13	71	338	96	49
2017	3	14	47	346	102	27
2017	4	14	63	385	101	51
2018	1	16	61	367	97	71
2018	2	11	57	335	123	68
2018	3	20	48	368	110	64
2018	4	14	55	370	105	66
2019	1	12	43	416	109	64
2019	2	9	51	323	110	44
2019	3	7	54	328	95	40
2019	4	16	60	322	107	32
2020	1	7	50	363	90	39
2020	2	7	20	176	54	22
2020	3	1	30	212	72	18
2020	4	8	41	266	107	35
2021	1	2	43	298	87	20
2021	2	5	55	238	78	36
2021	3	5	43	299	99	38
2021	4	11	37	294	87	38
2022	1	9	61	320	99	38
2022	2	6	43	306	120	66
2022	3	12	48	306	141	42
2022	4	14	58	316	126	44
2023	1	10	53	328	125	30
2023	2	15	56	307	100	43
2023	3	11	52	273	104	40
2023	4	11	51	382	106	42
